Original Link,Page Count
https://www.classic.com/m/porsche/911/964/carrera-2/coupe-automatic,2
https://www.classic.com/m/porsche/911/993/carrera/cabriolet-manual/,14
https://www.classic.com/m/porsche/911/993/turbo/,16
https://www.classic.com/m/porsche/911/g-body/carrera-32/targa/,20
https://www.classic.com/m/porsche/911/g-body/930/turbo-33/coupe/,26
https://www.classic.com/m/mercedes-benz/s/w126/c126-coupe/560-sec/,11
https://www.classic.com/m/mercedes-benz/sl/r107-c107/560-sl/,76
https://www.classic.com/m/mercedes-benz/sl/w121/,24
https://www.classic.com/m/mercedes-benz/g/w463/g-55-amg/,7
https://www.classic.com/m/bmw/3-series/e30/m3/coupe/,14
https://www.classic.com/m/bmw/z3/roadster/m/,21
https://www.classic.com/m/bmw/3-series/e36/m3/coupe-manual/,23
https://www.classic.com/m/lancia/delta/1st-gen/hf-integrale-evo-ii/,4
https://www.classic.com/m/ferrari/458/coupe/,8
https://www.classic.com/m/ferrari/f355/spider-manual/,11
https://www.classic.com/m/ford/mustang/1st-gen/1965-1966/base-model/fastback/,29
https://www.classic.com/m/chevrolet/camaro/1st-gen/ss/,26
https://www.classic.com/m/chevrolet/corvette/c3/l82/,19
https://www.classic.com/m/nissan/gt-r/,14
