Car Name,Special Hook,Description,Sold For,Bid Count,Comment Count,Price Category,Auto Biography
1962 Mercedes-Benz 190 SL (W 121 BII),"Deutsche Erstauslieferung, lückenlose Historie, 15.832 Km, matching numbers, vollständig restauriert, Motorrevision, TÜV Neu","Bei diesem “Sport Leicht” (SL) wird einem die Präsentation seiner Besonderheiten nicht gerade leicht gemacht: Angefangen bei einer lückenlos nachvollziehbaren Historie dieser deutschen Erstauslieferung, über eine professionelle frame-off Restaurierung samt Motorrevision des gerade einmal 15.832 Km gelaufenen nummerngleichen Motors, bis hin zu den i-Tüpfelchen der Farbkombination und dem zugehörigen Koffersatz sollten hier wohl nahezu jedem SL-Enthusiasten die Begeisterung ins Gesicht zaubern. Der Roadster wurde 1963 an einen Berliner Malermeister ausgeliefert, welcher ihn bereits nach nur 19 Tagen an seinen Rechtsanwalt weitergab. Nach 9 Jahren wurde der SL dann auf die Frau des Malermeisters zugelassen. Interessanter Weise blieb das Kennzeichen dabei immer gleich. 2018 wurde das über Jahrzehnte stillgelegte Fahrzeug dann vom aktuellen Besitzer aus der Erbmasse gekauft und in über 2.500 Stunden durch Fachleute vollständig restauriert. Die besondere Historie und erstklassig durchgeführten Arbeiten wurden beim 44. internationalen Oldtimermeeting in Baden-Baden 2021 als beste Restaurierung prämiert und im Oktober 2021 von Classic Data mit einer Zustandsnote von 1,0 bewertet.
Der 190 SL kann an Stand 202 in Halle 9 auf der Classic Expo Salzburg 2021 besichtigt werden.",verkauft für 160.000 €,25 Gebote,14 Kommentare,Restaurierter Neuwagenzustand,"Der 190 SL wurde erstmals am 20.03.1963 in Deutschland auf einen Malermeister in Berlin zugelassen. Bereits 19 Tage später wurde der SL jedoch auf seinen Rechtsanwalt in Berlin-Friedenau zugelassen. Dieser gab das Fahrzeug dann nach 9 Jahren zurück an die Frau des Malermeisters, welche den SL am 14.06.1972 auf sich zulassen ließ. Bereits am 12. Februar 1973 wurde der Wagen dann aufgrund von Durchrostungen an den Aufhängungspunkten der Hinterachse stillgelegt und in einer Berliner Garage eingemottet. Im August 2018 wurde der Mercedes-Benz dann durch den Verkäufer im zerlegten Fundzustand geborgen und bis November 2019 vollständig restauriert. Nachfolgend wurde der SL vereinzelt durch den aktuellen Eigentümer mit 07er-Kennzeichen bewegt. Am 21.06.2021 erfolgte die Erneuerung des TÜV und Erteilung der H-Zulassung."
1956 Jaguar XK 140 DHC Cabriolet,"Britischer Linkslenker, für den US-Markt hergestellt, C-Type Zylinderkopf, D-Type Nockenwelle, original Jaguar Motoraustausch, 30 Jahre im Besitz des Verkäufers, ungeschweißt, österreichische Zulassung, aktuelles Pickerl","Dieser XK 140 DHC wurde 1956 von Jaguar in England, für den US-Markt hergestellt. Das Fahrzeug ist mit dem C-Type Zylinderkopf ausgestattet und kommt mit dem damals optionalen Overdrive Getriebe, welches für einen geringeren Verbrauch sorgt und zur Geräuschreduzierung, sowie Motorschonung dient. Weiterhin wurde eine schärfere Nockenwelle von D-Type verbaut, sodass dieser XK 140 bei hohen Drehzahlen für besonders sportlichen Fahrspaß sorgt. Während einer Restaurierung zwischen 1993 und 1994 in England, wurde durch den Spezialisten John May, der 3.4 Liter Motor gegen einen stärkeren 3.8 Liter Motor ausgetauscht. Es handelt sich dabei um einen originalen Jaguar Motor, eingesetzt ab dem Jahr 1960 für die XK 150 Modelle. Da das Fahrzeug für den nordamerikanischen Markt gebaut wurde, passt es sich durch die Linkslenkung perfekt an den europäischen Straßenverkehr an.
Der Jaguar XK 140 kann in Wien besichtigt werden. ",verkauft für 135.000 €,0 Gebote,0 Kommentare,Luxusfahrzeug,"Das XK 140 DHC wurde 1956 in England gebaut und anschließend in die USA ausgeliefert. Die erste Anmeldung für den Straßenverkehr erfolgte am 27.08.1956. Über die Zeit in den USA ist dem Verkäufer leider nichts bekannt. Er erwarb das Fahrzeug in Kalifornien und exportierte es nach England, wo es zwischen 1993 und 1994 vom Spezialisten John May in Cheltenham restauriert wurde. Hierbei wurde der Motor durch einen XK 150 3.8l ersetzt, die Technik optimiert, Scheibenbremsen vorne und hinten und neue Chromspeichenräder eingesetzt. Am 31.05.2000 wurde der Jaguar nach Österreich importiert und am 31.08.2018 bekam er eine österreichische Einzelgenehmigung. Das Fahrzeug befindet sich seit 30 Jahren im Besitz eines Spezialisten und Fans. Er war Gründer des Jaguar Drivers Club in Österreich, zusammen mit Lofty England, dem Ex Jaguar CEO."
2013 Lamborghini Gallardo LP 560-4 “50th anniversary Sondermodell”,"Originalzustand, limitiertes Sondermodell, lückenlose Historie, 25.800 Km, TÜV bei Kauf neu","Dieser Lamborghini Gallardo LP 560-4 in der limitierten Sonderedition „50 th anniversary“ ist einer der letzten gebauten Gallardo mit einer Laufleistung von nur 25.000 km. Bei diesem Supersportwagen handelt es sich um die letzte Modellpflege des Grundmodells mit dem begehrten 5,2 Liter V10 Aggregat mit Direkteinspritzung. Die Eckdaten dieses Fahrzeugs sprechen für sich: 560 PS, 540 NM, permanenter Allradantrieb, 0-100 km/h: 3,7 Sekunden, eingetragene Höchstgeschwindigkeit: 325km/h. Der Gallardo in der seltenen Farbe „Blu Caelum“ wurde 2013 nach Kuwait ausgeliefert und dort auf einen Piloten der Qatar Airways erstzugelassen. Ende 2019 wurde das Fahrzeug nach Deutschland importiert und nach großem Service und TÜV-Vollabnahme im Juni 2020 auf den aktuellen Besitzer zugelassen.
Das Fahrzeug kann in Schwetzingen in der Nähe von Heidelberg besichtigt werden.",verkauft für 90.000 €,4 Gebote,3 Kommentare,Luxusfahrzeug,"Dieser Gallardo LP 560-4 wurde als Sondermodell „50th anniversary“ in der sehr seltenen Farbe „Blu Caelum“ und umfangreicher Ausstattung am 26.08.2013 in Kuwait erstzugelassen. Der Erstbesitzer, ein Kapitän von Qatar-Airlines, spendierte dem Gallardo eine komplette, durchsichtige Folie zum Schutz vor Steinschlägen und UV-Einstrahlung. Ende 2019 wurde das Fahrzeug vom aktuellen Besitzer nach Deutschland geholt. Dieser ließ Anfang 2020 eine deutsche Vollabnahme bei Sportwagenprofi Jens Hoffmann durchführen. Nachfolgend wurde noch ein großer Service durchgeführt und das Fahrzeug nachträglich auf den Namen des Verkäufers angemeldet. Seitdem wurde das Fahrzeug nur gelegentlich bewegt und steht trocken in einer Halle."
2012 BMW M3 Coupé (E92),"Deutsche Erstauslieferung, neuwertiger Werkswagen mit nur 292 Km, Ausstellungsstück, lückenlose Historie, Variable M Differenzialsperre, Originalzustand, TÜV Neu","Dieser in 2012 hergestellte BMW M3 ist etwas ganz Besonderes, denn er befindet sich in einem nahezu fabrikneuen Zustand. Als Werkswagen mit keinen 300 Km Laufleistung hatte dieses zweitürige Coupé noch keine Chance, das schnell schaltende automatisierte 7-Gang-Doppelkupplungsgetriebe und die Variable M Differenzialsperre, die mit diesem Modell auf den Markt kam, richtig einzufahren. Die Sperre sorgt sowohl für hohe Fahrstabilität als auch für optimale Traktion, vor allem aus Kurven heraus und gewährt dem, aus dem Rennsport geborenen BMW, alle Ehre.
Das Coupé kann in Fröndenberg/Ruhr besichtigt werden. ",verkauft für 85.000 €,23 Gebote,7 Kommentare,Luxusfahrzeug,"Das Coupé wurde an die Bayerische Motoren Werke Aktiengesellschaft in München ausgeliefert und bekam am 09.10.2012 die erste Anmeldung für den Straßenverkehr. Der M3 wurde daraufhin als Flagship von BMW ausgestellt und als Showmodell genutzt. Am 10.01.2014 wurde der M3 erstmalig abgemeldet, um nach kurzer Zulassung mit Saisonkennzeichen am 10.02.2020 vom aktuellen Besitzer erneut abgemeldet zu werden. Der BMW erhielt am 19.05.2020 von der Dekra eine neue Vollabnahme. Für den Verkauf wird eine neue TÜV Abnahme durchgeführt."
Kein Mindestpreis: 1995 Hotzenblitz Buggy,"Erstes deutsches Elektrofahrzeug, Werbefahrzeug aus Tengelmann-Sammlung und Ausstellungsstück, geringe Laufleistung, Originalzustand","Der Hotzenblitz galt bis 2013 als erstes in Deutschland entwickelte und hergestellte Elektrofahrzeug, welches in Serie produziert und verkauft wurde. Rein optisch galt er als Vorläufer des Smart, technisch gesehen fährt er zu 100% elektrisch und war vor fast 30 Jahren der Einzige seiner Art. Im Jahr 1993 wurde die Hotzenblitz Mobile GmbH gegründet, die das E-Mobil im Werk des ehemaligen Mopedherstellers Simson in Suhl fertigen sollte. Viele der heute als neu erscheinenden technischen Errungenschaften, wie beispielsweise die Rekuperation waren im Hotzenblitz schon damals vorgesehen. Auch leistungs- und verbrauchstechnisch konnte er, im Vergleich mit heutigen E-Fahrzeugen, schon damals beachtliche Werte vorweisen. Er kombiniert mit seiner Reichweite zwischen 60 bis 150 km ökologisches und sportliches Fahrvergnügen und ist ein Retro-Future-Mobil mit Kultstatus.
Der Hotzenblitz kann in Einbeck besichtigt werden.  ",verkauft für 6.700 €,19 Gebote,29 Kommentare,Einsteigerfreundlich,"Der Hotzenblitz wurde 1995 erstmals für den Straßenverkehr auf den Tengelmann Warenhandelskonzern angemeldet. Später erfolgte ein Halterwechsel zur Tengelmann Firmengruppe, wobei der Hotzenblitz dennoch nur einen tatsächlichen Vorbesitzer hatte. Im Jahr 2012 gelangte das Fahrzeug in das Tengelmann-Musuem ""Technikum"" in Mühlheim an der Ruhr. Anschließend erfolgte die Abmeldung und der Hotzenblitz wurde 2019 im Rahmen der Auflösung der Tengelmann-Sammlung vom jetzigen Besitzer erworben."
1973 Chrysler Mopar Plymouth Duster 360,"US-Import, Komplett-Restauration, 360 V8-Motor mit 5.9 Liter Hubraum, Edelbrock Vergaser, Automatikgetriebe, H-Kennzeichen, TÜV Neu","Der Duster war eine Variante des Modells Valiant, den Chrysler unter dem Markennamen Plymouth ab 1970 sechs Jahre lang herstellte. Das Modell des Baujahres 1973 bekam seinerzeit eine neue Motorhaube, einen neuen Kühlergrill und neue Rücklichter. Zudem wurde bei diesem Modell der Innenraum verbessert. 1976 wurde der letzte Duster hergestellt. Heute gehört die Modellreihe zu den erschwinglichen Muscle-Cars aus den 1970er-Jahren und sie bringen ein Stück wunderschöne amerikanische Automobilgeschichte auf die deutschen Straßen.
Der Plymouth Duster kann in Lehrte besichtigt werden. ",verkauft für 22.000 €,7 Gebote,0 Kommentare,Alltagsklassiker,"Der Plymouth wurde am 18. März 1973 erstmalig für den Straßenverkehr zugelassen. Über die Besitzer aus dieser Zeit ist nichts bekannt. Der Wagen wurde vor ca. 14 Jahren von Manhardt Performance aus Wuppertal für den Firmeneigentümer komplett restauriert, leider gibt es dazu keine Unterlagen mehr. Danach befand sich das Coupé im Besitz einer weiteren Privatperson in Deutschland und wurde stets gepflegt und wenig gefahren. Am 05.10.2021 kaufte der aktuelle Eigentümer das Fahrzeug."
2008 BMW M3 E93,"Deutsche Erstauslieferung, V8-Motor, Originalzustand, aktueller TÜV","Der M3 stellt seit den 80er Jahren eine besonders leistungsstarke Variante des jeweiligen 3er-Serienmodells dar. Seit 1988 wurde das Fahrzeug vom BMW-Tochterunternehmen BMW M GmbH auch als Cabriolet (E93) gefertigt. Die Inspiration sowie letztlich auch viele Komponente stammen aus dem Rennsport, die Serie verfügt damit über zahlreiche Technologien, die ihren Ursprung in der Formel 1 haben und besitzt sowohl optisch einen sportlichen Look als auch technisch überragende Fahrleistungen.
Das M3 Cabriolet kann in Nagold besichtigt werden. ",verkauft für 29.500 €,9 Gebote,1 Kommentare,Alltagsklassiker,"Das M3 Cabriolet wurde im September 2008 im BMW Werk Regensburg produziert. Die erste Anmeldung für den Straßenverkehr erfolgte am 07.10.2008. Das Fahrzeug befindet sich momentan im Besitz einer Privatperson, hatte vier weitere Halter und war ausschließlich in Deutschland zugelassen."
1997 BMW M3 3.2 E36,"Deutsche Erstauslieferung, manuelles Getriebe, Klimaautomatik, neuer Motor, umfangreicher Service, TÜV 7/23","M3 aus der E36-Baureihe sind sehr begehrt. Das von 1992 bis 1999 gebaute Sportcoupé ist heute ein absolutes Kultfahrzeug. Die zweite Generation des 3er Topmodells sollte eine breitere Zielgruppe ansprechen. Der 3,2-Liter-Reihensechszylinder mit 321 PS unter der Haube und maximalen 320 Nm Drehmoment ist der stärkste Motor der Baureihe. Diese Version des sportlichen Zweitürers wird im englischen Sprachraum auch als „Evo"" oder „Evolution"" bezeichnet.
Das M3 Coupé kann in Nagold besichtigt werden. ",verkauft für 32.000 €,14 Gebote,0 Kommentare,Alltagsklassiker,Das M3 Coupé wurde am 28. Mai 1997 im BMW M Werk in Regensburg produziert. Die erste Anmeldung für den Straßenverkehr erfolgte am 06.06.1997. Das Fahrzeug war durchgehend in Deutschland angemeldet.
2006 Mercedes-Benz G55 AMG Kompressor (G-Klasse),"Japanische Erstauslieferung, High-Performance-SUV, limitierte AMG-Variante mit handgefertigtem 5,4l V8 (476 PS & 700 Nm), Geländefahrzeug mit permanentem Allradantrieb, Langversion, Schiebedach, luxuriöse Ausstattung, aktueller TÜV bis 04/2025","Der Mercedes-AMG G55 ist ein Hochleistungs-SUV, das von Mercedes-Benz in Zusammenarbeit mit der Performance-Abteilung AMG entwickelt wurde. Der G55 wird von einem leistungsstarken und von AMG handgefertigten 5,4-Liter-V8-Motor angetrieben und wurde mit einem Kompressor ausgestattet. Dies führt zu seinem charakteristischen V8-Sound, sowie zu beeindruckenden Leistungsdaten von 476 PS und einem Drehmoment von 700 Nm. Der G55 AMG ist aber nicht nur für seine hohe Leistung auf der Straße bekannt, sondern auch für seine Geländetauglichkeit, das Fahrzeug verfügt über ein robustes Allradantriebssystem und wurde insbesondere für den Einsatz im Gelände entwickelt. Das Fahrzeug ist aufgrund seines Hochleistungscharakters und der begrenzten Stückzahl recht exklusiv und ein luxuriöses Spaßmobil und spannendes Sammlerstück zugleich. Für den G55 AMG existieren weiterhin ein aktueller TÜV und das Serviceheft.
Der AMG G55 kann in 72555 Metzingen besichtigt werden. ",Mindestpreis nicht erreicht,20 Gebote,0 Kommentare,Luxusfahrzeug,Das hier vorgestellte Fahrzeug wurde 2006 nach Japan erstmals ausgeliefert und verblieb dort bis zum Import nach Deutschland 2017. Seither ist es im Besitz des jetzigen Verkäufers.
1969 Cadillac DeVille Cabriolet (Convertible),"Luxus-Automobil, ikonisches Design, seltene Cabriolet-Variante, leistungsstarker 7,7l V8 mit 375 PS, 63.200 km, el. Fensterheber, Klimaanlage, guter Zustand, seit 1993 in Österreich, aktuell als Sammlerobjekt verwahrt","Pure Extravaganz - der Cadillac DeVille kam im Jahr 1959 auf den Markt und galt schon damals als Inbegriff des amerikanischen Luxus-Automobils. Er ist besonders bekannt durch sein ausschweifendes und unverwechselbares Design mit dramatischen Heckflossen, einem prominenten Kühlergrill und großzügigem Einsatz von Chromzierelementen. Das Gesamtdesign des Autos war heldenhaft und spiegelt unverwechselbar die damaligen Styling-Trends der späten 1950er und 60er Jahre wider. Er wurde mit einem leistungsstarken V8-Motor ausgestattet, die Motoren dieser Ära standen für Qualität und robuste Leistung. Der DeVille hat heutzutage in der Automobilwelt einen Ikonenstatus erreicht und steht wie kaum ein anderer als Symbol für den Überfluss und das unverwechselbare Design seiner Ära. Aufgrund seiner Bedeutung und der begrenzten Produktion ist der Cadillac DeVille bei Sammlern und Automobilenthusiasten sehr gefragt, insbesondere die Cabriolet-Variante, so wie das hier vorgestellte Fahrzeug.
Der Cadillac DeVille kann in 4332 Au an der Donau, Österreich besichtigt werden. ",Mindestpreis nicht erreicht,7 Gebote,0 Kommentare,Alltagsklassiker,"Dieses rote Cadillac Cabriolet mit beigem Stoffverdeck wurde 1969 in den USA gebaut erlangte nach den vorliegenden Unterlagen 1993 die österreichische Einzelgenehmigung und lief in der Folge in und um Salzburg. Bis April 2016 besaßen nur zwei Eigentümerfamilien das Fahrzeug, seither ist das Cabrio im Besitz eines Wiener Unternehmers, welcher umfangreich in das Fahrzeug investierte und seitdem als Sammlerstück verwahrt."
